Zipcode,Population
21769,11476.0
21755,5672.0
21788,11827.0
21791,5532.0
21814,471.0
21826,5391.0
21837,2991.0
21771,29220.0
21782,4098.0
21784,39115.0
21793,10250.0
21829,584.0
21835,517.0
21840,628.0
21850,2669.0
21853,11394.0
21867,33.0
21911,10678.0
21913,1036.0
26410,986.0
26421,186.0
26444,3629.0
26451,851.0
26456,3706.0
26508,33105.0
26542,2584.0
26543,255.0
26568,620.0
26571,2413.0
26572,354.0
26761,486.0
26764,3742.0
26817,280.0
26865,123.0
26636,422.0
26638,152.0
26660,330.0
26720,90.0
26755,874.0
26802,1271.0
26847,6299.0
26055,1970.0
26133,1453.0
26137,594.0
26142,2806.0
26147,2112.0
26175,3462.0
26202,651.0
18458,2875.0
18459,54.0
18503,1256.0
18509,13620.0
18512,11695.0
18657,11933.0
18702,39618.0
18705,14592.0
18814,200.0
18821,1179.0
18822,3518.0
18828,336.0
18832,1994.0
18842,291.0
18845,323.0
18847,5682.0
18854,1277.0
18942,3174.0
18944,25190.0
18974,41024.0
18938,13861.0
18940,29114.0
18642,4353.0
18655,5853.0
18660,3564.0
18618,3625.0
18517,5503.0
18603,19438.0
18610,4096.0
18622,246.0
26291,95.0
26408,2999.0
26705,870.0
26707,318.0
26719,2704.0
26801,1298.0
26808,903.0
26814,372.0
26836,6694.0
26852,782.0
26374,1153.0
26537,5475.0
26710,2549.0
26716,814.0
26717,1039.0
26743,1866.0
26750,763.0
26560,252.0
26335,1319.0
26254,330.0
26563,487.0
26591,1181.0
26178,444.0
26425,1218.0
26559,1194.0
26631,474.0
26030,602.0
26170,5921.0
26268,57.0
19902,396.0
19904,33766.0
19933,9818.0
19508,15783.0
19560,7946.0
19804,17651.0
19975,8735.0
19022,4052.0
19067,51628.0
19116,33212.0
19555,3437.0
19565,9153.0
19601,34336.0
19608,22431.0
19706,2012.0
19020,55339.0
19943,12503.0
19115,32583.0
19120,76459.0
19501,966.0
19074,5900.0
19017,263.0
19060,11125.0
19109,0.0
19375,63.0
19383,2999.0
19442,0.0
19456,902.0
19477,125.0
19535,37.0
85931,179.0
88121,79.0
88125,70.0
88136,48.0
88230,5131.0
88252,2217.0
88348,287.0
88350,299.0
88417,44.0
88055,7.0
88318,322.0
88415,3494.0
88260,15082.0
88345,8368.0
88007,23130.0
88028,404.0
88032,386.0
88034,114.0
88046,855.0
88081,16018.0
88103,341.0
88203,30551.0
88311,1403.0
88342,117.0
88349,12.0
88355,0.0
88130,18484.0
88250,257.0
88339,668.0
88038,323.0
88048,2966.0
88124,1101.0
88005,28683.0
88118,262.0
88263,107.0
83709,54962.0
83713,30594.0
83714,20886.0
83716,16927.0
83802,158.0
83803,838.0
83822,1884.0
83864,18065.0
83824,323.0
83839,1225.0
83851,1713.0
83452,1667.0
83522,2321.0
83541,984.0
83549,671.0
83617,15329.0
83622,1901.0
83631,849.0
83641,3409.0
83651,32836.0
83655,4329.0
83703,16041.0
83350,12391.0
83433,8.0
82072,16401.0
82083,288.0
87935,1752.0
87942,1025.0
87043,4911.0
87045,1570.0
87062,1341.0
87109,39312.0
87317,1200.0
87322,240.0
87325,2962.0
87357,722.0
87364,1002.0
87417,5823.0
87512,65.0
87513,1188.0
87515,459.0
87531,583.0
87556,2545.0
87560,1503.0
87566,3606.0
87714,1106.0
87825,1717.0
87006,1102.0
87014,543.0
87026,3903.0
87036,2038.0
87037,623.0
87042,3601.0
87008,2891.0
87020,11634.0
87031,44158.0
87034,2105.0
87053,1116.0
87110,38092.0
87535,1138.0
87518,142.0
87522,2283.0
87524,57.0
87537,3245.0
87540,1001.0
87001,4099.0
87011,36.0
87018,474.0
87023,603.0
87027,222.0
87044,335.0
87049,1530.0
87061,244.0
87102,20145.0
87106,25015.0
87113,15274.0
87124,54040.0
87320,703.0
87321,2035.0
87401,44458.0
87419,203.0
87461,1220.0
87510,773.0
61567,596.0
61704,36869.0
76088,11298.0
76103,13685.0
76119,47704.0
76127,1974.0
76357,663.0
76238,426.0
76247,13191.0
76265,1901.0
76426,11622.0
76437,5292.0
76538,900.0
76544,28683.0
76569,2198.0
76578,1482.0
76624,2140.0
76627,1538.0
76634,6932.0
76639,1409.0
76652,1194.0
76679,1436.0
76802,4967.0
76828,299.0
76849,3880.0
76852,206.0
76866,687.0
76002,33991.0
76016,30886.0
76023,5882.0
76035,1455.0
76049,27135.0
76051,50484.0
76055,2521.0
76063,67723.0
76066,3195.0
76086,21462.0
76087,27561.0
76115,20618.0
76123,30668.0
76135,22878.0
76201,27138.0
76207,13309.0
76252,2760.0
76264,1453.0
76309,13145.0
76310,18598.0
76363,346.0
76453,1207.0
76469,48.0
76470,3872.0
76481,156.0
76523,0.0
76525,1013.0
76528,16267.0
76301,15694.0
76882,273.0
76631,530.0
76635,1288.0
61569,1130.0
61602,1058.0
61604,31256.0
61031,1629.0
61041,997.0
61048,3949.0
61072,11665.0
61074,4314.0
61078,1300.0
61084,3073.0
61101,20622.0
61234,1405.0
61235,1414.0
61236,121.0
61929,744.0
61016,4727.0
61062,1869.0
61112,95.0
61560,498.0
61773,507.0
61856,7600.0
61944,12038.0
61877,1842.0
61460,238.0
61479,206.0
61550,17847.0
61728,1320.0
61775,351.0
61263,639.0
61320,707.0
61417,210.0
61442,686.0
61607,11154.0
61769,553.0
61377,1621.0
61459,384.0
61754,1089.0
61839,681.0
61914,1832.0
61818,1667.0
61852,246.0
61853,13819.0
61880,3980.0
61912,1275.0
61917,666.0
61938,21808.0
61940,217.0
61943,1646.0
61733,988.0
61027,8.0
61043,100.0
61079,231.0
61258,316.0
61278,419.0
61433,77.0
61553,167.0
61562,0.0
61616,6019.0
61625,344.0
78026,5842.0
78027,798.0
78040,42445.0
63862,1540.0
63934,115.0
63874,402.0
63876,2325.0
63879,649.0
63882,457.0
63901,35437.0
63945,992.0
63955,125.0
63960,3071.0
63019,4521.0
63021,56477.0
63030,222.0
63033,42434.0
63034,17840.0
63043,22317.0
63050,16340.0
63068,5375.0
63071,1259.0
63074,15189.0
63077,11085.0
63090,21713.0
63101,3303.0
63108,21345.0
63109,27072.0
63116,44175.0
63121,25276.0
63122,38857.0
63123,50739.0
63126,14959.0
63127,4852.0
63131,17631.0
63461,5875.0
63468,2300.0
63471,615.0
63532,1326.0
63541,263.0
63645,11518.0
63673,2030.0
63742,57.0
63766,1171.0
63785,892.0
63834,6989.0
63848,1438.0
63849,128.0
63851,3868.0
63140,308.0
63144,8796.0
63350,654.0
63367,22149.0
63369,1665.0
63387,54.0
63401,22248.0
63430,478.0
63432,454.0
63434,736.0
76710,23967.0
76711,8710.0
76825,7111.0
78389,1438.0
78391,291.0
78410,26734.0
78414,38037.0
78501,63948.0
78521,93008.0
78526,45420.0
78566,18804.0
78593,6250.0
78877,1125.0
78840,48278.0
78860,162.0
78872,1939.0
78933,1092.0
78953,650.0
78954,1049.0
78021,226.0
78003,8885.0
78004,1227.0
78012,416.0
78039,1505.0
78043,43914.0
78046,69262.0
